,Claire,Brenna,Stephen,Nate,Eric,Lance,RJ,Brian,Nick,Kevin,Adam,Andrew
1,Todd Gurley II,Le'Veon Bell,David Johnson,Ezekiel Elliott,Antonio Brown,Saquon Barkley,Julio Jones,Alvin Kamara,Kareem Hunt,Melvin Gordon,Leonard Fournette,DeAndre Hopkins
,"RB, LAR, 12","RB, Pit, 7","RB, Ari, 9","RB, Dal, 8","WR, Pit, 7","RB, NYG, 9","WR, Atl, 8","RB, NO, 6","RB, KC, 12","RB, LAC, 8","RB, Jax, 9","WR, Hou, 10"
2,Travis Kelce,Joe Mixon,Jordan Howard,Dalvin Cook,LeSean McCoy,Keenan Allen,Michael Thomas,Devonta Freeman,A.J. Green,Christian McCaffrey,Rob Gronkowski,Odell Beckham Jr.
,"TE, KC, 12","RB, Cin, 9","RB, Chi, 5","RB, Min, 10","RB, Buf, 11","WR, LAC, 8","WR, NO, 6","RB, Atl, 8","WR, Cin, 9","RB, Car, 4","TE, NE, 11","WR, NYG, 9"
3,Mike Evans,T.Y. Hilton,Davante Adams,Derrick Henry,Zach Ertz,Adam Thielen,Lamar Miller,Jimmy Graham,Aaron Rodgers,Tyreek Hill,Kenyan Drake,Alex Collins
,"WR, TB, 5","WR, Ind, 9","WR, GB, 7","RB, Ten, 8","TE, Phi, 9","WR, Min, 10","RB, Hou, 10","TE, GB, 7","QB, GB, 7","WR, KC, 12","RB, Mia, 11","RB, Bal, 10"
4,Demaryius Thomas,Rex Burkhead,Mark Ingram II,Larry Fitzgerald,Dion Lewis,Doug Baldwin,Marshawn Lynch,Tom Brady,Stefon Diggs,Royce Freeman,Amari Cooper,Jay Ajayi
,"WR, Den, 10","RB, NE, 11","RB, NO, 6","WR, Ari, 9","RB, Ten, 8","WR, Sea, 7","RB, Oak, 7","QB, NE, 11","WR, Min, 10","RB, Den, 10","WR, Oak, 7","RB, Phi, 9"
5,Jarvis Landry,Greg Olsen,Josh Gordon,Brandin Cooks,Golden Tate,JuJu Smith-Schuster,Carson Wentz,Marvin Jones Jr.,Allen Robinson,Chris Hogan,Chris Carson,Carlos Hyde
,"WR, Cle, 11","TE, Car, 4","WR, Cle, 11","WR, LAR, 12","WR, Det, 6","WR, Pit, 7","QB, Phi, 9","WR, Det, 6","WR, Chi, 5","WR, NE, 11","RB, Sea, 7","RB, Cle, 11"
6,Randall Cobb,Sammy Watkins,Alshon Jeffery,Adrian Peterson,Robby Anderson,Giovani Bernard,Evan Engram,Emmanuel Sanders,Delanie Walker,Marquise Goodwin,Michael Crabtree,Tevin Coleman
,"WR, GB, 7","WR, KC, 12","WR, Phi, 9","RB, Was, 4","WR, NYJ, 11","RB, Cin, 9","TE, NYG, 9","WR, Den, 10","TE, Ten, 8","WR, SF, 11","WR, Bal, 10","RB, Atl, 8"
7,Isaiah Crowell,Duke Johnson Jr.,Chris Thompson,Will Fuller V,Jamaal Williams,Tyler Eifert,Jacquarfs D/ST,Jamison Crowder,Tarik Cohen,Peyton Barber,Robert Woods,Corey Davis
,"RB, NYJ, 11","RB, Cle, 11","RB, Was, 4","WR, Hou, 10","RB, GB, 7","TE, Cin, 9","D/ST, Jax, 9","WR, Was, 4","RB, Chi, 5","RB, TB, 5","WR, LAR, 12","WR, Ten, 8"
8,Sony Michel,Josh Doctson,Jordan Reed,Jordy Nelson,Cooper Kupp,Matt Breida,Kyle Rudolph,Devin Funchess,Nick Chubb,Aaron Jones,Ronald Jones II,Pierre Garcon
,"RB, NE, 11","WR, Was, 4","TE, Was, 4","WR, Oak, 7","WR, LAR, 12","RB, SF, 11","TE, Min, 10","WR, Car, 4","RB, Cle, 11","RB, GB, 7","RB, TB, 5","WR, SF, 11"
9,Drew Brees,Deshaun Watson,Rashaad Penny,Jack Doyle,Russell Wilson,Andrew Luck,Kelvin Benjamin,LeGarrette Blount,Ty Montgomery,alfred morris,Kerryon Johnson,Cam Newton
,"QB, NO, 6","QB, Hou, 10","RB, Sea, 7","TE, Ind, 9","QB, Sea, 7","QB, Ind, 9","WR, Buf, 11","RB, Det, 6","RB, GB, 7",Check Spelling,"RB, Det, 6","QB, Car, 4"
10,Jared Cook,Tyler Lockett,Kenny Golladay,Latavius Murray,Keelan Cole,Jordan Wilkins,James White,John Ross,Sterling Shepard,Kenny Stills,Nelson Agholor,Marlon Mack
,"TE, Oak, 7","WR, Sea, 7","WR, Det, 6","RB, Min, 10","WR, Jax, 9","RB, Ind, 9","RB, NE, 11","WR, Cin, 9","WR, NYG, 9","WR, Mia, 11","WR, Phi, 9","RB, Ind, 9"
11,Rams D/ST,C.J. Anderson,Allen Hurns,Matt Ryan,Julian Edelman,Eagles D/ST,Stephen Gostkowski,Ben Roethlisberger,Mohamed Sanu,Trey Burton,Kirk Cousins,George Kittle
,"D/ST, LAR, 12","RB, Car, 4","WR, Dal, 8","QB, Atl, 8","WR, NE, 11","D/ST, Phi, 9","K, NE, 11","QB, Pit, 7","WR, Atl, 8","TE, Chi, 5","QB, Min, 10","TE, SF, 11"
12,Patrick Mahomes,Nyheim Hines,Matthew Stafford,DeSean Jackson,Theo Riddick,Justin Tucker,Philip Rivers,Greg Zuerlein,Kenneth Dixon,Corey Clement,DeVante Parker,Bilal Powell
,"QB, KC, 12","RB, IND, 9","QB, Det, 6","WR, TB, 5","RB, Det, 6","K, Bal, 10","QB, LAC, 8","K, LAR, 12","RB, BAL, 10","RB, Phi, 9","WR, Mia, 11","RB, NYJ, 11"
13,Jake Elliott,Vikings D/ST,Jimmy Garoppolo,Texans D/ST,Wil Lutz,Danny Amendola,Tyler Boyd,Ravens D/ST,Calvin Ridley,Alex Smith,Paul Richardson,Devontae Booker
,"K, Phi, 9","D/ST, Min, 10","QB, SF, 11","D/ST, Hou, 10","K, NO, 6","WR, Mia, 11","WR, CIN, 9","D/ST, Bal, 10","WR, Atl, 8","QB, Was, 4","WR, Was, 4","RB, Den, 10"
14,David Njoku,Matt Bryant,Saints D/ST,Chris Boswell,Jared Goff,Jeremy Hill,Jerick McKinnon,Darren Sproles,Mike williams,Steelers D/ST,Patriots D/ST,Tyrell Williams
,"TE, Cle, 11","K, Atl, 8","D/ST, NO, 6","K, Pit, 7","QB, LAR, 12","RB, NE, 11","RB, SF, 11","RB, PHI, 9","WR, LAC, 8","D/ST, Pit, 7","D/ST, NE, 11","WR, LAC, 8"
15,DJ Moore,Charles Clay,Eric Ebron,Austin Hooper,Chargers D/ST,Cameron Brate,Dak Prescott,Doug Martin,Broncos D/ST,Mason Crosby,Javorius Allen,Dez Bryant
,"WR, Car, 4","TE, Buf, 11","TE, Ind, 9","TE, Atl, 8","D/ST, LAC, 8","TE, TB, 5","QB, Dal, 8","RB, Oak, 7","D/ST, Den, 10","K, GB, 7","RB, BAL, 10","WR, FA, N/A"
16,John Brown,Michael Gallup,dan bailey,lamar jackson,Rob Kelley,Derek Carr,mike davis,Austin Seferian-Jenkins,Robbie Gould,Courtland Sutton,Matt Prater,Bengals D/ST
,"WR, Bal, 10","WR, Dal, 8","K, Dal, 8",Check Spelling,"RB, WAS, 4","QB, Oak, 7",Check Spelling,"TE, Jax, 9","K, SF, 11","WR, Den, 10","K, Det, 6","D/ST, CIN, 9"
